S	T
-0.0183345	0.0315628
0.00524685	-0.00547499
-0.023028	0.0757927
-0.00381682	0.00253232
-0.0205454	0.0698348
0.0209756	-0.00625635
-0.00434666	-0.00662808
-0.0178378	0.0141505
-0.00872402	-0.0104053
-0.00534822	-0.0124454
-0.00068689	0.00238993
-0.0150972	0.10121
-0.0056061	0.0120663
-0.0100692	0.0173757
-0.00746039	0.107024
0.00156159	-0.00881806
-0.00221894	0.0199832
-0.00632741	0.0997475
-0.0219284	0.0521745
-0.00530742	0.0660102
-0.00415993	0.0108405
-0.00588154	0.070866
-0.000103549	-0.0106773
-0.012973	0.0617773
-0.00654708	0.0737923
-0.0203338	0.0534647
-0.000987254	-0.00497405
-0.0161846	-0.0310198
-0.0117444	0.0679314
-0.00552716	0.0525512
-0.0159846	-0.026089
-0.0118086	0.0698672
-0.00195754	-0.00717927
-0.00789653	0.0228862
-0.00493559	0.0340122
0.00152895	-0.0190276
-0.0128498	0.00356482
-0.0236938	0.0691201
-0.00335666	0.0146533
-0.0141437	0.0665892
-0.00539885	0.0618629
-0.00890662	0.113575
-0.023008	0.0735307
-0.0281622	0.0755992
